题名,作者,出版社
平凡的世界,路遙,中国靑年出版社
面包树上的女人,张小娴,南海出版社
活着,余华,南海出版公司
且听风呤,村上春树,上海译文出版社
挪威的森林,村上春树,上海译文出版社
围城,钱钟书,人民文学出版社
挪威的森林,村上春树,漓江出版社
MATLAB 5.x入门与提高,龚剑,清华大学出版社
尘埃落定,阿来,人民文学出版社
喜宝,亦舒,南海出版社
ANSYS工程应用实例解析,龚曙光,机械工业出版社
痞子蔡作品集,,知识出版社
MATLAB程序设计与应用,张智星,清华大学出版社
百年孤独,马尔克斯,浙江文艺出版社
活着,余华,上海文艺出版社
苏菲的世界,贾德,作家出版社
大学物理习题解析,焦兆焕,西安交通大学出版社
白鹿原,陈忠实,人民文学出版社
高等数学题库精编,薛嘉庆,东北大学出版社
离散数学,胡新启,清华大学出版社
平凡的世界,路遙,华夏出版社
大学物理典型题详解,张孝林,科学出版社
撒哈拉的故事,三毛,哈尔滨出版社
最新大学物理440典型题,黄树森,中国建材工业出版社
FLUENT,韩占忠,北京理工大学出版社
大学物理典型题解题思路与技巧,王小力,西安交通大学出版社
大学物理解题指导,邓法金,科学出版社
复变函数与积分变换学习辅导与习题选解,李红,高等教育出版社
果壳中的宇宙,霍金,湖南科学技术出版社
如何阅读一本书,阿德勒,商务印书馆
大学物理知识点精析与解题能力训练,余虹,大连理工大学出版社
穆斯林的葬礼,霍达,十月文艺出版社
牛奶可乐经济学,弗兰克,中国人民大学出版社
复变函数,孙清华,华中科技大学出版社
东方快车谋杀案,克里斯蒂,人民文学出版社
电磁场重点难点及典型题精解,马西奎,西安交通大学出版社
使用ANSYS 6.0进行有限元分析,谭建国,北京大学出版社
源氏物语,紫式部,人民文学出版社
ANSYS工程应用教程,唐兴伦,中国铁道出版社
高等数学典型题,龚冬保,西安交通大学出版社
新编普通物理题解,周逊选,华中理工大学出版社
放学后,东野圭吾,南海出版公司
复变函数与积分变换,杨战民,西安电子科技大学出版社
高等数学辅导,邹本腾,机械工业出版社
固体物理导论,基特尔,化学工业出版社
理想国,柏拉图,人民日报出版社
在细雨中呼喊,余华,南海出版公司
最后一次亲密接触,,知识出版社
复变函数典型题,龚冬保,西安交通大学出版社
梦的解析,弗洛伊德,九州出版社
人性的弱点全集,卡耐基,金城出版社
电磁场与电磁波,戈鲁,机械工业出版社
平凡的世界,路遥,人民文学出版社
数学分析习题课讲义,谢惠民,高等教育出版社
线性代数习题集,王萼芳,清华大学出版社
概率统计辅导,章昕,机械工业出版社
高等数学典型题精解,陈兰祥,学苑出版社
