题名,作者,出版社
平凡的世界,"路遙, lu yao 1949-1992 著",中国靑年出版社
面包树上的女人,张小娴 Zhang Xiao Xian 著,南海出版社
平凡的世界,"路遙, lu yao 1949-1992 著",中国靑年出版社
活着,余华 yu hua 著,南海出版公司
且听风呤,村上春树 Cun Shang Chun Shu 著,上海译文出版社
平凡的世界,"路遙, lu yao 1949-1992 著",中国靑年出版社
挪威的森林,"村上春树,  Cun Shang Chun Shu , 1949- 著",上海译文出版社
围城,钱钟书 qian zhong shu 著,人民文学出版社
挪威的森林,村上春树 cun shang chun shu 著,漓江出版社
MATLAB 5.x入门与提高,龚剑 gong jian 编著,清华大学出版社
尘埃落定,"阿来, a lai 1959- 著",人民文学出版社
喜宝,亦舒 Yi Shu 著,南海出版社
ANSYS工程应用实例解析,龚曙光 gong shu guang 主编,机械工业出版社
痞子蔡作品集,,知识出版社
MATLAB程序设计与应用,张智星 zhang zhi xing 著,清华大学出版社
百年孤独,"马尔克斯，加· （哥伦比亚） M rquez,G. 著",浙江文艺出版社
活着,"余华, yu hua 1960- 著",上海文艺出版社
苏菲的世界,贾德 乔· 著,作家出版社
大学物理习题解析,焦兆焕 jiao zhao huan 编,西安交通大学出版社
白鹿原,陈忠实 chen zhong shi 1945- 著,人民文学出版社
高等数学题库精编,薛嘉庆 xue jia qing 著,东北大学出版社
ANSYS工程应用实例解析,龚曙光 gong shu guang 主编,机械工业出版社
离散数学,胡新启 hu xin qi 编著,清华大学出版社
围城,钱钟书 qian zhong shu 著,人民文学出版社
离散数学,胡新启 hu xin qi 编著,清华大学出版社
平凡的世界,"路遙, lu yao 1949-1992 著",华夏出版社
平凡的世界,"路遙, lu yao 1949-1992 著",中国靑年出版社
围城,钱钟书 qian zhong shu 著,人民文学出版社
,"Erickson, Robert W. (Robert Warren), 1956-",
大学物理典型题详解,张孝林 Zhang Xiao Lin 主编,科学出版社
撒哈拉的故事,三毛 san mao 著,哈尔滨出版社
最新大学物理440典型题,黄树森 huang shu sen 主编,中国建材工业出版社
FLUENT,韩占忠 han zhan zhong 编,北京理工大学出版社
大学物理典型题解题思路与技巧,王小力 wang xiao li 编,西安交通大学出版社
大学物理解题指导,邓法金 Deng Fa Jin 编著,科学出版社
复变函数与积分变换学习辅导与习题选解,李红 li hong 编,高等教育出版社
果壳中的宇宙,"霍金, huo jin S. (Hawking, Stephen), 1942- 著",湖南科学技术出版社
如何阅读一本书,"阿德勒 Adele (Adler, Mortimer Jerome), 1902-2001 著 CAL  n2004503909# jt0yjt0y ec0yec0y",商务印书馆
大学物理知识点精析与解题能力训练,余虹 yu hong 主编,大连理工大学出版社
活着,"余华, yu hua 1960- 著",上海文艺出版社
穆斯林的葬礼,霍达 著,十月文艺出版社
牛奶可乐经济学,"弗兰克 fu lan ke (Frank, Robert) 著",中国人民大学出版社
撒哈拉的故事,三毛 san mao 著,哈尔滨出版社
大学物理典型题解题思路与技巧,王小力 wang xiao li 编,西安交通大学出版社
复变函数,孙清华 Sun Qing Hua 著,华中科技大学出版社
大学物理典型题解题思路与技巧,王小力 wang xiao li 编,西安交通大学出版社
东方快车谋杀案,"克里斯蒂 ke li si di (Christie, Agatha), 1890-1976 著",人民文学出版社
电磁场重点难点及典型题精解,马西奎 Ma Xi Kui 著,西安交通大学出版社
使用ANSYS 6.0进行有限元分析,谭建国 Tan Jian Guo 编著,北京大学出版社
大学物理典型题详解,张孝林 Zhang Xiao Lin 主编,科学出版社
电磁场重点难点及典型题精解,马西奎 Ma Xi Kui 著,西安交通大学出版社
